INFO:tensorflow:[INFO] Key kid_m-M2BHC1026_009 length 341.
INFO:tensorflow:[INFO] Key kid_m-M2BJH1013_007 length 293.
INFO:tensorflow:[INFO] Key kid_m-M2BSA1012_013 length 289.
INFO:tensorflow:[INFO] Key kid_m-M2BSU1069_031 length 308.
INFO:tensorflow:[INFO] Key kid_m-M2CJH1006_022 length 169.
INFO:tensorflow:[INFO] Key kid_m-M2CSU1039_007 length 148.
INFO:tensorflow:[INFO] Key kid_m-M2GJU1035_024 length 117.
INFO:tensorflow:[INFO] Key kid_m-M2HSW1052_003 length 255.
INFO:tensorflow:[INFO] Key kid_m-M2IJH1005_003 length 461.
INFO:tensorflow:[INFO] Key kid_m-M2IJU1145_026 length 327.
INFO:tensorflow:[INFO] Key kid_m-M3ASH1053_023 length 279.
INFO:tensorflow:[INFO] Key kid_m-M3BCU1019_013 length 220.
INFO:tensorflow:[INFO] Key kid_m-M3BHH1032_009 length 160.
INFO:tensorflow:[INFO] Key kid_m-M3BJS1030_023 length 122.
INFO:tensorflow:[INFO] Key kid_m-M3BSB1011_010 length 165.
INFO:tensorflow:[INFO] Key kid_m-M3BSJ1004_043 length 132.
INFO:tensorflow:[INFO] Key kid_m-M3CJH1014_018 length 396.
INFO:tensorflow:[INFO] Key kid_m-M3CJY1038_024 length 309.
INFO:tensorflow:[INFO] Key kid_m-M3CYJ1066_007 length 183.
INFO:tensorflow:[INFO] Key kid_m-M3GDH1036_002 length 138.
INFO:tensorflow:[INFO] Key kid_m-M3GDY1040_032 length 251.
INFO:tensorflow:[INFO] Key kid_m-M3GGM1062_019 length 126.
INFO:tensorflow:[INFO] Key kid_m-M3GGS1028_010 length 198.
INFO:tensorflow:[INFO] Key kid_m-M3GHJ1016_032 length 199.
INFO:tensorflow:[INFO] Key kid_m-M3GJH1023_014 length 256.
INFO:tensorflow:[INFO] Key kid_m-M3GJW1048_055 length 212.
INFO:tensorflow:[INFO] Key kid_m-M3GRJ1025_025 length 204.
INFO:tensorflow:[INFO] Key kid_m-M3GSM1002_017 length 280.
INFO:tensorflow:[INFO] Key kid_m-M3GSU1034_038 length 205.
INFO:tensorflow:[INFO] Key kid_m-M3GTH1065_010 length 128.
INFO:tensorflow:[INFO] Key kid_m-M3GTY1007_015 length 264.
INFO:tensorflow:[INFO] Key kid_m-M3GWU1010_021 length 274.
INFO:tensorflow:[INFO] Key kid_m-M3GYM1029_008 length 153.
INFO:tensorflow:[INFO] Key kid_m-M3IDJ1070_016 length 222.
INFO:tensorflow:[INFO] Key kid_m-M3IGJ1022_009 length 252.
INFO:tensorflow:[INFO] Key kid_m-M3IHJ1042_024 length 171.
INFO:tensorflow:[INFO] Key kid_m-M3IJH1041_038 length 292.
INFO:tensorflow:[INFO] Key kid_m-M3IJY1024_005 length 273.
INFO:tensorflow:[INFO] Key kid_m-M3ISP1044_020 length 184.
INFO:tensorflow:[INFO] Key kid_m-M3IYJ1060_036 length 418.
INFO:tensorflow:[INFO] Key kid_m-M3JSW1045_012 length 159.
INFO:tensorflow:[INFO] Key kid_m-M3JYC1015_031 length 192.
INFO:tensorflow:[INFO] Key kid_m-M3MHY1037_014 length 168.
INFO:tensorflow:[INFO] Key senior_f-0051_030 length 240.
INFO:tensorflow:[INFO] Key senior_f-0052_035 length 226.
INFO:tensorflow:[INFO] Key senior_f-0053_015 length 243.
INFO:tensorflow:[INFO] Key senior_f-0054_098 length 269.
INFO:tensorflow:[INFO] Key senior_f-0056_026 length 164.
INFO:tensorflow:[INFO] Key senior_f-0058_011 length 314.
INFO:tensorflow:[INFO] Key senior_f-0059_012 length 271.
INFO:tensorflow:[INFO] Key senior_f-0060_025 length 308.
INFO:tensorflow:[INFO] Key senior_f-0061_067 length 273.
INFO:tensorflow:[INFO] Key senior_f-0064_071 length 326.
INFO:tensorflow:[INFO] Key senior_f-0065_054 length 219.
INFO:tensorflow:[INFO] Key senior_f-0068_053 length 334.
INFO:tensorflow:[INFO] Key senior_f-0069_016 length 160.
INFO:tensorflow:[INFO] Key senior_f-0070_024 length 267.
INFO:tensorflow:[INFO] Key senior_f-0071_056 length 219.
INFO:tensorflow:[INFO] Key senior_f-0072_071 length 202.
INFO:tensorflow:[INFO] Key senior_f-0073_016 length 285.
INFO:tensorflow:[INFO] Key senior_f-0074_064 length 385.
INFO:tensorflow:[INFO] Key senior_f-0075_011 length 320.
INFO:tensorflow:[INFO] Key senior_f-0076_090 length 300.
INFO:tensorflow:[INFO] Key senior_f-0078_052 length 371.
INFO:tensorflow:[INFO] Key senior_f-0079_003 length 237.
INFO:tensorflow:[INFO] Key senior_f-0080_053 length 240.
INFO:tensorflow:[INFO] Key senior_f-0081_078 length 566.
INFO:tensorflow:[INFO] Key senior_f-0082_004 length 612.
